Jaar,Toets,Resultaat,Pogingen
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,3,onvoldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,voldoende,1
1,4,onvoldoende,1
1,4,onvoldoende,1
1,4,onvoldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,voldoende,1
1,5,onvoldoende,1
1,5,onvoldoende,1
1,5,onvoldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,voldoende,1
1,6,onvoldoende,1
